START_ID(Tweet),:END_ID(Political Body),:TYPE,Specification
5163,United States Senate,references,United States Senate
5163,United States Congress,references,United States Congress
5199,United States Congress,references,United States Congress
5199,United States Senate,references,United States Senate
5199,United States Congress,references,United States Congress
5202,United States Air Force,references,United States Air Force
5217,United States Congress,references,United States Congress
5218,United States Congress,references,United States Congress
5218,United States House of Representatives,references,United States House of Representatives
5223,United States Congress,references,United States Congress
5223,United States Senate,references,United States Senate
5223,United States Congress,references,United States Congress
5227,United States Senate,references,United States Senate
5227,United States Congress,references,United States Congress
5236,United States Congress,references,United States Congress
5251,United Nations,references,Global conversation about the United Nations and all related efforts.
5267,United States Congress,references,United States Congress
5267,United States Senate,references,United States Senate
5267,United States Congress,references,United States Congress
5278,United States Congress,references,United States Congress
5278,United States Senate,references,United States Senate
5278,United States Congress,references,United States Congress
5300,United States Congress,references,United States Congress
5325,United States Congress,references,United States Congress
5351,United States Senate,references,United States Senate
5351,United States Congress,references,United States Congress
5366,United States Congress,references,United States Congress
5367,United States Air Force,references,United States Air Force
5367,United States Coast Guard,references,United States Coast Guard
5372,United States Congress,references,United States Congress
5372,United States Senate,references,United States Senate
5372,United States House of Representatives,references,United States House of Representatives
5372,United States Congress,references,United States Congress
5376,United States Congress,references,United States Congress
5376,United States Senate,references,United States Senate
5376,United States Congress,references,United States Congress
5380,United States Congress,references,United States Congress
5380,United States Senate,references,United States Senate
5380,United States Congress,references,United States Congress
5387,United States Congress,references,United States Congress
5428,United States Senate,references,United States Senate
5428,United States Congress,references,United States Congress
5440,United States Congress,references,United States Congress
5440,United States Senate,references,United States Senate
5440,United States Congress,references,United States Congress
5458,US Military,references,US Military
5478,United States Congress,references,United States Congress
5481,US Military,references,US Military
5484,United States Congress,references,United States Congress
5497,United States Congress,references,United States Congress
5497,United States Senate,references,United States Senate
5497,United States Congress,references,United States Congress
5508,United States Postal Service,references,
5517,United States Congress,references,United States Congress
5517,United States Senate,references,United States Senate
5517,United States Congress,references,United States Congress
5573,United States Congress,references,United States Congress
5588,United States Congress,references,United States Congress
5588,United States Senate,references,United States Senate
5588,United States House of Representatives,references,United States House of Representatives
5588,United States Congress,references,United States Congress
5609,United States Congress,references,United States Congress
5611,US Environmental Protection Agency,references,US Environmental Protection Agency
5633,United States Congress,references,United States Congress
5643,United States Congress,references,United States Congress
5643,United States Senate,references,United States Senate
5643,United States Congress,references,United States Congress
5645,United States Congress,references,United States Congress
5645,United States Senate,references,United States Senate
5645,United States Congress,references,United States Congress
5652,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
5653,United States Senate,references,United States Senate
5653,United States House of Representatives,references,United States House of Representatives
5653,United States Congress,references,United States Congress
5661,United States Congress,references,United States Congress
5661,United States Senate,references,United States Senate
5661,United States Congress,references,United States Congress
5662,United States Senate,references,United States Senate
5662,United States Congress,references,United States Congress
5663,United States Congress,references,United States Congress
5679,US Military,references,US Military
5712,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
5714,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
5726,United States Congress,references,United States Congress
5726,United States Senate,references,United States Senate
5726,United States Congress,references,United States Congress
5728,United States Congress,references,United States Congress
5730,United States Congress,references,United States Congress
5730,United States Senate,references,United States Senate
5730,United States Congress,references,United States Congress
5738,United States Congress,references,United States Congress
5738,United States Senate,references,United States Senate
5738,United States Congress,references,United States Congress
5742,United States Congress,references,United States Congress
5742,United States Senate,references,United States Senate
5742,United States Congress,references,United States Congress
5743,Federal Reserve,references,
5764,United Nations,references,Global conversation about the United Nations and all related efforts.
5773,US Department of the Treasury,references,US Department of the Treasury
5805,United States Congress,references,United States Congress
5805,United States Senate,references,United States Senate
5805,United States Congress,references,United States Congress
5823,United States Congress,references,United States Congress
5823,United States Senate,references,United States Senate
5823,United States Congress,references,United States Congress
5835,United States Congress,references,United States Congress
5838,Supreme Court of the United States,references,Conversation about the Supreme Court and justices
5838,Supreme Court of the United States,references,Conversation about the Supreme Court and justices
5841,United States Congress,references,United States Congress
5841,United States Senate,references,United States Senate
5841,United States Congress,references,United States Congress
5848,United States Coast Guard,references,United States Coast Guard
5851,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
5856,United States Congress,references,United States Congress
5856,United States Senate,references,United States Senate
5856,United States Congress,references,United States Congress
5860,United States Congress,references,United States Congress
5860,United States Senate,references,United States Senate
5860,United States Congress,references,United States Congress
5865,United States Congress,references,United States Congress
5865,United States Senate,references,United States Senate
5865,United States Congress,references,United States Congress
5867,United States Congress,references,United States Congress
5867,United States Senate,references,United States Senate
5867,United States Congress,references,United States Congress
5881,United States Congress,references,United States Congress
5885,United States Congress,references,United States Congress
5892,United States Congress,references,United States Congress
5892,United States House of Representatives,references,United States House of Representatives
5916,United States Postal Service,references,
5939,US Department of State,references,US Department of State
5961,United States Congress,references,United States Congress
5961,United States Senate,references,United States Senate
5961,United States Congress,references,United States Congress
5976,United States Congress,references,United States Congress
5979,United States Congress,references,United States Congress
6005,The White House,references,"Conversation from and about the White House, both as a destination and as political voice"
6028,United States Congress,references,United States Congress
6030,US Environmental Protection Agency,references,US Environmental Protection Agency
