:START_ID(Tweet),:END_ID(Interests and Hobbies Vertical-ca),:TYPE,Specification
4467,Family and life stages,references,Family and Life Stages
4470,Family and life stages,references,Family and Life Stages
4475,Family and life stages,references,Family and Life Stages
4476,Family and life stages,references,Family and Life Stages
4481,Family and life stages,references,Family and Life Stages
4487,Family and life stages,references,Family and Life Stages
4488,Family and life stages,references,Family and Life Stages
4489,Family and life stages,references,Family and Life Stages
4491,Family and life stages,references,Family and Life Stages
4494,Family and life stages,references,Family and Life Stages
4495,Family and life stages,references,Family and Life Stages
4500,Family and life stages,references,Family and Life Stages
4504,Family and life stages,references,Family and Life Stages
4505,Family and life stages,references,Family and Life Stages
4506,Family and life stages,references,Family and Life Stages
4507,Family and life stages,references,Family and Life Stages
4508,Family and life stages,references,Family and Life Stages
4511,Family and life stages,references,Family and Life Stages
4512,Family and life stages,references,Family and Life Stages
4517,Business & finance,references,
4520,Family and life stages,references,Family and Life Stages
4521,Family and life stages,references,Family and Life Stages
4522,Family and life stages,references,Family and Life Stages
4528,Family and life stages,references,Family and Life Stages
4530,Family and life stages,references,Family and Life Stages
4533,Family and life stages,references,Family and Life Stages
4539,Family and life stages,references,Family and Life Stages
4540,Business & finance,references,
4546,Family and life stages,references,Family and Life Stages
4547,Family and life stages,references,Family and Life Stages
4558,Family and life stages,references,Family and Life Stages
4566,Wellness and health,references,Wellness & Health
4567,Family and life stages,references,Family and Life Stages
4571,Family and life stages,references,Family and Life Stages
4572,Business & finance,references,
4582,Family and life stages,references,Family and Life Stages
4583,Wellness and health,references,Wellness & Health
4587,Family and life stages,references,Family and Life Stages
4591,Family and life stages,references,Family and Life Stages
4592,Family and life stages,references,Family and Life Stages
4603,Family and life stages,references,Family and Life Stages
4644,Business & finance,references,
4654,Family and life stages,references,Family and Life Stages
4658,Beauty,references,Beauty
4663,Family and life stages,references,Family and Life Stages
4663,Family and life stages,references,Family and Life Stages
4671,Family and life stages,references,Family and Life Stages
4680,Careers,references,Careers
4700,Business & finance,references,
4707,Family and life stages,references,Family and Life Stages
4711,Family and life stages,references,Family and Life Stages
4806,Drinks,references,Drinks
4819,Family and life stages,references,Family and Life Stages
4820,Drinks,references,Drinks
4838,Family and life stages,references,Family and Life Stages
4839,Family and life stages,references,Family and Life Stages
4840,Family and life stages,references,Family and Life Stages
4848,Family and life stages,references,Family and Life Stages
4850,Family and life stages,references,Family and Life Stages
4851,Family and life stages,references,Family and Life Stages
4852,Family and life stages,references,Family and Life Stages
4853,Family and life stages,references,Family and Life Stages
4856,Family and life stages,references,Family and Life Stages
4876,Family and life stages,references,Family and Life Stages
4893,Family and life stages,references,Family and Life Stages
4894,Family and life stages,references,Family and Life Stages
4897,Family and life stages,references,Family and Life Stages
4906,Family and life stages,references,Family and Life Stages
4907,Family and life stages,references,Family and Life Stages
4912,Family and life stages,references,Family and Life Stages
4920,Family and life stages,references,Family and Life Stages
4922,Business & finance,references,
4926,Family and life stages,references,Family and Life Stages
4931,Family and life stages,references,Family and Life Stages
4935,Family and life stages,references,Family and Life Stages
4936,Family and life stages,references,Family and Life Stages
4937,Family and life stages,references,Family and Life Stages
4941,Family and life stages,references,Family and Life Stages
4950,Family and life stages,references,Family and Life Stages
4951,Family and life stages,references,Family and Life Stages
4952,Business & finance,references,
4984,Family and life stages,references,Family and Life Stages
4985,Family and life stages,references,Family and Life Stages
4987,Family and life stages,references,Family and Life Stages
5011,Family and life stages,references,Family and Life Stages
5021,Business & finance,references,
5021,Business & finance,references,
5023,Family and life stages,references,Family and Life Stages
5035,Family and life stages,references,Family and Life Stages
5046,Business & finance,references,
5046,Business & finance,references,
5053,Family and life stages,references,Family and Life Stages
5080,Family and life stages,references,Family and Life Stages
5089,Family and life stages,references,Family and Life Stages
5090,Family and life stages,references,Family and Life Stages
5091,Family and life stages,references,Family and Life Stages
5092,Family and life stages,references,Family and Life Stages
5103,Family and life stages,references,Family and Life Stages
5104,Family and life stages,references,Family and Life Stages
5117,Family and life stages,references,Family and Life Stages
5119,Family and life stages,references,Family and Life Stages
5123,Family and life stages,references,Family and Life Stages
5133,Family and life stages,references,Family and Life Stages
5134,Society,references,Society
5151,Automotive,references,Car culture
5161,Family and life stages,references,Family and Life Stages
5175,Family and life stages,references,Family and Life Stages
5177,Family and life stages,references,Family and Life Stages
5187,Family and life stages,references,Family and Life Stages
5196,Family and life stages,references,Family and Life Stages
5202,Family and life stages,references,Family and Life Stages
5208,Family and life stages,references,Family and Life Stages
5211,Family and life stages,references,Family and Life Stages
5212,Family and life stages,references,Family and Life Stages
5223,Family and life stages,references,Family and Life Stages
5229,Family and life stages,references,Family and Life Stages
5231,Family and life stages,references,Family and Life Stages
5232,Family and life stages,references,Family and Life Stages
5233,Family and life stages,references,Family and Life Stages
5234,Family and life stages,references,Family and Life Stages
5235,Family and life stages,references,Family and Life Stages
5258,Family and life stages,references,Family and Life Stages
5264,Family and life stages,references,Family and Life Stages
5290,Family and life stages,references,Family and Life Stages
5294,Family and life stages,references,Family and Life Stages
5295,Family and life stages,references,Family and Life Stages
5296,Family and life stages,references,Family and Life Stages
5301,Family and life stages,references,Family and Life Stages
5306,Business & finance,references,
5318,Business & finance,references,
5332,Family and life stages,references,Family and Life Stages
5365,Family and life stages,references,Family and Life Stages
5367,Family and life stages,references,Family and Life Stages
5385,Family and life stages,references,Family and Life Stages
5386,Family and life stages,references,Family and Life Stages
5399,Family and life stages,references,Family and Life Stages
5401,Family and life stages,references,Family and Life Stages
5402,Family and life stages,references,Family and Life Stages
5407,Family and life stages,references,Family and Life Stages
5408,Family and life stages,references,Family and Life Stages
5410,Family and life stages,references,Family and Life Stages
5423,Wellness and health,references,Wellness & Health
5424,Family and life stages,references,Family and Life Stages
5437,Family and life stages,references,Family and Life Stages
5445,Family and life stages,references,Family and Life Stages
5446,Family and life stages,references,Family and Life Stages
5453,Family and life stages,references,Family and Life Stages
5458,Careers,references,Careers
5462,Family and life stages,references,Family and Life Stages
5464,Careers,references,Careers
5467,Family and life stages,references,Family and Life Stages
5478,Family and life stages,references,Family and Life Stages
5479,Family and life stages,references,Family and Life Stages
5481,Careers,references,Careers
5481,Family and life stages,references,Family and Life Stages
5483,Family and life stages,references,Family and Life Stages
5484,Family and life stages,references,Family and Life Stages
5485,Family and life stages,references,Family and Life Stages
5486,Wellness and health,references,Wellness & Health
5488,Family and life stages,references,Family and Life Stages
5515,Family and life stages,references,Family and Life Stages
5544,Business & finance,references,
5544,Business & finance,references,
5563,Family and life stages,references,Family and Life Stages
5567,Family and life stages,references,Family and Life Stages
5572,Business & finance,references,
5572,Business & finance,references,
5584,Family and life stages,references,Family and Life Stages
5592,Family and life stages,references,Family and Life Stages
5593,Family and life stages,references,Family and Life Stages
5594,Family and life stages,references,Family and Life Stages
5595,Family and life stages,references,Family and Life Stages
5597,Family and life stages,references,Family and Life Stages
5599,Family and life stages,references,Family and Life Stages
5624,Family and life stages,references,Family and Life Stages
5629,Business & finance,references,
5629,Business & finance,references,
5635,Drinks,references,Drinks
5647,Family and life stages,references,Family and Life Stages
5648,Family and life stages,references,Family and Life Stages
5664,Family and life stages,references,Family and Life Stages
5676,Family and life stages,references,Family and Life Stages
5677,Family and life stages,references,Family and Life Stages
5679,Careers,references,Careers
5679,Family and life stages,references,Family and Life Stages
5680,Family and life stages,references,Family and Life Stages
5693,Family and life stages,references,Family and Life Stages
5705,Wellness and health,references,Wellness & Health
5729,Family and life stages,references,Family and Life Stages
5749,Business & finance,references,
5749,Business & finance,references,
5749,Business & finance,references,
5764,Business & finance,references,
5775,Family and life stages,references,Family and Life Stages
5780,Family and life stages,references,Family and Life Stages
5850,Business & finance,references,
5868,Business & finance,references,
5868,Business & finance,references,
5883,Family and life stages,references,Family and Life Stages
5888,Family and life stages,references,Family and Life Stages
5896,Drinks,references,Drinks
5904,Family and life stages,references,Family and Life Stages
5929,Family and life stages,references,Family and Life Stages
5931,Family and life stages,references,Family and Life Stages
5941,Family and life stages,references,Family and Life Stages
5943,Family and life stages,references,Family and Life Stages
5945,Family and life stages,references,Family and Life Stages
5960,Family and life stages,references,Family and Life Stages
5965,Family and life stages,references,Family and Life Stages
5970,Family and life stages,references,Family and Life Stages
5982,Family and life stages,references,Family and Life Stages
5991,Family and life stages,references,Family and Life Stages
6002,Family and life stages,references,Family and Life Stages
6009,Family and life stages,references,Family and Life Stages
6013,Family and life stages,references,Family and Life Stages
6018,Family and life stages,references,Family and Life Stages
6019,Family and life stages,references,Family and Life Stages
6020,Family and life stages,references,Family and Life Stages
6021,Family and life stages,references,Family and Life Stages
